
Name                             Status StartType
WaaSMedicSvc                    Stopped    Manual
WalletService                   Stopped    Manual
WarpJITSvc                      Stopped    Manual
WbioSrvc                        Stopped    Manual
Wcmsvc                          Running Automatic
wcncsvc                         Stopped    Manual
WdiServiceHost                  Stopped    Manual
WdiSystemHost                   Running    Manual
WdNisSvc                        Running    Manual
Wecsvc                          Stopped    Manual
WEPHOSTSVC                      Stopped    Manual
wercplsupport                   Stopped    Manual
WerSvc                          Stopped    Manual
WFDSConMgrSvc                   Stopped    Manual
WiaRpc                          Stopped    Manual
WinDefend                       Running Automatic
WindowsAzureGuestAgent          Running Automatic
WinHttpAutoProxySvc             Running    Manual
Winmgmt                         Running Automatic
WinRM                           Stopped  Disabled
wisvc                           Stopped    Manual
WlanSvc                         Stopped    Manual
wlidsvc                         Stopped    Manual
WManSvc                         Stopped    Manual
wmiApSrv                        Stopped    Manual
WMPNetworkSvc                   Stopped    Manual
workfolderssvc                  Stopped    Manual
WPDBusEnum                      Stopped    Manual
WpnService                      Running Automatic
WSAIFabricSvc                   Running Automatic
WSearch                         Stopped  Disabled
wuauserv                        Running    Manual
XblAuthManager                  Stopped    Manual
ZTHELPER                        Stopped    Manual




